novel_gene,corr_with,correlation
folP2,sul2.1,0.9888429499205436
group_8657,aph(6)-Id,0.8819931933396619
ebr,sul1.1,0.9797895663281221
repA,IncQ1_1,0.957988704400963
group_14507,IncQ1_1,0.9464350328628667
urf2,merC,0.9101318203510365
yedA_2,tet(A)_4,0.893608053111157
dhfrI,dfrA17,0.9932764356935438
group_20717,IncFIA_1,0.9547256412698956
repE,IncFIA_1,0.959616594948295
mphR,Mrx,1.0
rsvB,IncFIA_1,0.8557495992021495
tnsB,merC,0.8897698403329989
ccdB_2,IncFIA_1,0.8466059204199667
group_20781,aadA5,0.9212488669286264
group_21010,Mrx,0.8278462586575182
group_15443,aadA5,0.8228372275237625
group_14301,catA1,0.9654809784596114
group_15783,parC_E84V,0.8536346042475067
group_16762,IncB/O/K/Z_2,0.8666388834614182
group_14958,vactox,0.9430154559089399
yjgL_2,parC_E84V,0.876957680538696
group_7948,IncB/O/K/Z_2,0.8707250220795927
group_2358,parC_E84V,0.922260727496914
group_18621,vactox,-0.8955424435162721
cbrB,vactox,0.9376427714765667
group_13719,vactox,0.8897210033217743
group_15444,Mrx,0.9752458796949969
group_19011,IncB/O/K/Z_2,0.9017758796665205
group_24328,vactox,0.8112022627912823
mhpD,vactox,-0.9227345745372094
group_9492,IncB/O/K/Z_2,0.8140671883300968
group_26205,IncB/O/K/Z_2,0.8929280097224996
group_19067,ptsI_V25I,0.9589136769349764
group_19071,parC_E84V,0.8374278347951754
siaP,mdtM.1,-0.8046150680966769
narV,vactox,0.8053966573861914
group_9491,IncB/O/K/Z_2,0.9276113758293709
mhpA,vactox,-0.9245957137186406
group_25849,parC_E84V,0.8536346042475067
mhpC,vactox,-0.9245957137186406
group_26088,CTX-M-15,0.9915486523636469
group_3469,parC_E84V,0.819279578289731
group_15883,parC_E84V,0.923202603040905
group_19009,IncB/O/K/Z_2,0.8295017576508728
group_26388,ptsI_V25I,1.0
elfA,vactox,0.8160614642792633
group_3733,parC_E84V,0.9100394271175432
group_26367,ptsI_V25I,0.9442573153811055
group_13316,Mrx,0.8037951607389142
focC_2,vactox,0.847219783938264
group_15757,IncB/O/K/Z_2,0.8480822444758873
group_19010,IncB/O/K/Z_2,0.8973567576065277
bfpB,IncB/O/K/Z_2,0.8750824963103876
wbbJ,ptsI_V25I,0.9485052123637184
group_25743,IncB/O/K/Z_2,0.8546333792467714
group_8350,vactox,0.8695200204978671
group_17892,vactox,0.9208337368587143
group_18374,iha,0.8138586591899867
group_16999,parC_E84V,0.9262716778998296
group_26203,IncB/O/K/Z_2,0.8973567576065277
group_26402,parC_E84V,0.8374278347951754
group_24898,parC_E84V,0.8477452157986107
group_19045,parC_E84V,0.8515338396451169
group_25848,parC_E84V,0.8536346042475067
yggR_2,IncB/O/K/Z_2,0.9600174032504962
