novel_gene,corr_with,correlation
group_15883,parC_E84V,0.923202603040905
yjgL_2,parC_E84V,0.876957680538696
group_17581,parC_E84V,-0.9149550956657565
group_15443,aadA5,0.8228372275237625
yihF_2,parC_E84V,0.9335293177242476
mphR,Mrx,1.0
group_2358,parC_E84V,0.922260727496914
group_3733,parC_E84V,0.9100394271175432
repE,IncFIA_1,0.959616594948295
ccdB_2,IncFIA_1,0.8466059204199667
group_21540,ptsI_V25I,0.9603036806020648
group_8629,parC_E84V,0.835672401500666
gemA,parC_E84V,0.834361924235782
group_3469,parC_E84V,0.819279578289731
focA,parC_E84V,-0.8994541825634648
group_16262,parC_E84V,0.899454182563465
rsvB,IncFIA_1,0.8557495992021495
group_26359,ptsI_V25I,0.9522003230294548
group_16997,parC_E84V,0.8199003657360645
allS_3,parC_E84V,-0.8551652111559694
group_26402,parC_E84V,0.8374278347951754
group_17582,parC_E84V,0.9149550956657566
group_15783,parC_E84V,0.8536346042475067
parM,parC_E84V,0.8572856771170966
group_26326,ptsI_V25I,0.9643086639567016
group_20768,parC_E84V,0.8612605437371555
group_19071,parC_E84V,0.8374278347951754
group_20717,IncFIA_1,0.9547256412698956
group_13316,Mrx,0.8037951607389142
group_26381,ptsI_V25I,0.9482383100906577
group_21546,ptsI_V25I,0.9250813366444509
group_26380,ptsI_V25I,0.9482383100906577
group_26382,ptsI_V25I,0.9482383100906577
group_26324,ptsI_V25I,0.9602521491220734
group_26377,ptsI_V25I,0.9802378813886743
group_19060,ptsI_V25I,0.9403460097041003
group_16999,parC_E84V,0.9262716778998296
group_26358,ptsI_V25I,0.9323656108187616
group_17286,ptsI_V25I,0.9603036806020648
group_19055,ptsI_V25I,0.9209317787148139
group_11936,ptsI_V25I,0.9522003230294545
ybcO_2,ptsI_V25I,0.9364734202991644
group_26364,ptsI_V25I,0.9562304758966932
group_21525,ptsI_V25I,0.9643086639567016
traC_1,ptsI_V25I,0.9602521491220734
group_19254,ptsI_V25I,0.9364734202991644
group_24898,parC_E84V,0.8477452157986107
group_26374,parC_E84V,0.8157021616734128
wbbJ,ptsI_V25I,0.9485052123637184
group_21549,ptsI_V25I,0.9364734202991644
gudP_2,parC_E84V,0.8020165671589551
group_26343,ptsI_V25I,0.9921357077862991
group_21560,ptsI_V25I,0.9802378813886743
group_21010,Mrx,0.8278462586575182
rfaS,ptsI_V25I,0.9805742052214658
group_26328,ptsI_V25I,1.0
group_15881,ptsI_V25I,0.9250813366444509
group_21533,ptsI_V25I,0.9805742052214658
dhfrI,dfrA17,0.9932764356935438
group_26375,ptsI_V25I,0.9348183515092536
group_26088,CTX-M-15,0.9915486523636469
group_21561,ptsI_V25I,0.9518775445784089
group_26349,ptsI_V25I,0.9326388778512401
group_21544,ptsI_V25I,0.9250813366444509
group_26399,ptsI_V25I,0.9097179569829456
group_25849,parC_E84V,0.8536346042475067
group_26351,ptsI_V25I,0.9209317787148139
group_24934,vactox,-0.907977257103184
group_15444,Mrx,0.9752458796949969
group_25848,parC_E84V,0.8536346042475067
group_18589,parC_E84V,0.8477452157986107
group_24640,parC_E84V,0.8572856771170966
group_3389,ptsI_V25I,0.9804030816084818
uidB2,parC_E84V,0.8612605437371558
group_13898,parC_E84V,0.8488673005749676
group_9665,vactox,0.9026341993268853
group_12216,parC_E84V,0.8437012496252396
group_26322,ptsI_V25I,0.9643086639567016
yfcR,vactox,0.812371668784953
nhaR,vactox,0.907977257103184
group_12219,parC_E84V,0.818547457214714
group_20769,parC_E84V,0.8572856771170966
group_21554,ptsI_V25I,0.9364734202991644
tnpA_4,catB4_1,0.8209345039948831
tdcE,parC_E84V,-0.8432318206141208
elfA,vactox,0.8160614642792633
group_26397,parC_E84V,0.8329414882678265
group_16613,vactox,-0.8087522381570129
group_19045,parC_E84V,0.8515338396451169
tdcG,parC_E84V,-0.8185474572147133
rspA_2,vactox,0.8631509973084726
group_13026,vactox,0.907977257103184
yadN,vactox,0.8674830542672354
focC_2,vactox,0.847219783938264
group_11523,vactox,0.8563842658906871
yadK,vactox,0.834607795353398
group_11525,vactox,-0.8081270531392328
group_20781,aadA5,0.9212488669286264
group_12038,vactox,0.8600682865645811
frwC,vactox,0.806559479258485
group_24445,parC_E84V,0.8343619242357817
cbrB,vactox,0.9376427714765667
group_26362,ptsI_V25I,0.9288417291602032
group_17977,vactox,0.8509012757511085
group_14958,vactox,0.9430154559089399
aufD,vactox,0.907977257103184
dnaB_2,ptsI_V25I,0.9603036806020648
group_1421,ptsI_V25I,0.9770694286564974
mhpR,vactox,-0.9245957137186406
group_26323,ptsI_V25I,0.9643086639567016
group_21553,ptsI_V25I,0.9562304758966932
group_11339,parC_E84V,0.8030277326351609
group_18064,vactox,0.9374121320218765
group_17892,vactox,0.9208337368587143
tsx2,vactox,0.8620183869766294
mhpB,vactox,-0.9134711332364471
group_21527,ptsI_V25I,0.9602521491220734
group_26325,ptsI_V25I,0.9602521491220734
group_26366,ptsI_V25I,0.9521988365020765
group_26361,ptsI_V25I,0.9521988365020764
group_26327,ptsI_V25I,0.9602521491220734
group_26365,ptsI_V25I,0.9521988365020765
group_26334,ptsI_V25I,0.9449646791648215
group_26354,ptsI_V25I,0.9442573153811055
group_19067,ptsI_V25I,0.9589136769349764
group_26388,ptsI_V25I,1.0
group_19064,ptsI_V25I,0.9401792972736859
intS_3,vactox,0.9687090137621317
group_17281,ptsI_V25I,0.9441140361854617
group_19056,ptsI_V25I,0.9250813366444509
group_21535,ptsI_V25I,0.9602661615575255
group_26367,ptsI_V25I,0.9442573153811055
group_21536,ptsI_V25I,0.9602661615575255
mhpD,vactox,-0.9227345745372094
group_13719,vactox,0.8897210033217743
group_26360,ptsI_V25I,0.9403460097041003
mhpC,vactox,-0.9245957137186406
mhpE,vactox,-0.9245957137186406
mhpA,vactox,-0.9245957137186406
cox,parC_E84V,0.802016567158955
group_26376,ptsI_V25I,0.8670967111289348
group_14166,parC_E84V,0.8120268411344272
group_26356,ptsI_V25I,0.9323656108187616
group_19059,ptsI_V25I,0.9323656108187616
group_21547,ptsI_V25I,0.9364734202991644
yijE,vactox,0.8069458263588213
yfcS,vactox,0.8810816418092127
group_13573,ptsI_V25I,0.9415532940856457
yfkN_1,vactox,0.8435382921254195
fimC_2,vactox,0.8829891876242938
group_26350,ptsI_V25I,0.9401792972736858
group_21548,ptsI_V25I,0.9364734202991644
group_26355,ptsI_V25I,0.9364734202991644
group_26357,ptsI_V25I,0.9364734202991644
group_21551,ptsI_V25I,0.9364734202991644
group_26316,ptsI_V25I,0.9444300688238483
rfbC,ptsI_V25I,0.9444300688238483
group_15886,ptsI_V25I,0.9484059415482388
group_19054,ptsI_V25I,0.9250813366444509
wbbK,ptsI_V25I,0.9485052123637184
group_26352,ptsI_V25I,0.9326388778512401
group_21541,ptsI_V25I,0.9326388778512401
group_26378,ptsI_V25I,0.9802378813886743
group_26330,ptsI_V25I,1.0
group_15884,ptsI_V25I,0.9323656108187616
group_20674,parC_E84V,0.802016567158955
pdxA_3,parC_E84V,0.8020165671589551
group_24444,parC_E84V,0.802016567158955
group_19057,ptsI_V25I,0.9323656108187616
group_19062,ptsI_V25I,0.9288417291602032
group_19063,ptsI_V25I,0.9288417291602032
group_19061,ptsI_V25I,0.9288417291602032
yjjL,vactox,0.8379647789940511
group_21545,ptsI_V25I,0.9250813366444509
group_12674,ptsI_V25I,0.8894096309328754
group_26368,ptsI_V25I,0.9278902503116238
group_17288,ptsI_V25I,0.9250813366444509
wbbL,ptsI_V25I,0.9444300688238483
group_26379,ptsI_V25I,0.9762566629225842
group_21552,ptsI_V25I,0.9250813366444509
group_17285,ptsI_V25I,0.9250813366444509
group_21539,ptsI_V25I,0.9250813366444509
hsdR_1,ptsI_V25I,0.9724032980605115
group_21543,ptsI_V25I,0.9250813366444509
group_26353,ptsI_V25I,0.9250813366444509
group_21542,ptsI_V25I,0.9250813366444509
hsdM_1,ptsI_V25I,0.9724032980605115
yfkN_2,vactox,0.8075256154585245
group_17279,ptsI_V25I,0.9114956341929026
group_8350,vactox,0.8695200204978671
group_26317,ptsI_V25I,1.0
group_21563,ptsI_V25I,1.0
group_15887,ptsI_V25I,1.0
group_15890,ptsI_V25I,1.0
mntH_2,ptsI_V25I,1.0
group_15875,ptsI_V25I,1.0
group_26387,ptsI_V25I,1.0
group_26311,ptsI_V25I,1.0
group_26329,ptsI_V25I,1.0
group_26391,ptsI_V25I,1.0
group_26385,ptsI_V25I,1.0
group_26384,ptsI_V25I,1.0
group_26383,ptsI_V25I,1.0
group_26386,ptsI_V25I,1.0
group_19070,ptsI_V25I,1.0
group_19068,ptsI_V25I,1.0
group_4134,ptsI_V25I,1.0
group_26396,ptsI_V25I,1.0
group_26392,ptsI_V25I,1.0
group_26393,ptsI_V25I,1.0
group_26394,ptsI_V25I,1.0
group_26389,ptsI_V25I,1.0
group_26390,ptsI_V25I,1.0
group_21564,parE_I529L,0.9472228872545262
group_26398,parE_I529L,0.9472228872545262
group_21562,ptsI_V25I,0.9960867657467666
group_6554,catB4_1,0.8284225155707984
group_21538,ptsI_V25I,0.920931778714814
group_17290,ptsI_V25I,0.9960867657467666
group_26341,ptsI_V25I,0.9882449236776242
rfaB,ptsI_V25I,0.9882449236776242
bglH_2,vactox,0.860091014206601
group_14382,ptsI_V25I,0.8877301542931043
mhpF,vactox,-0.9079605553252053
group_26395,ptsI_V25I,0.9960642787685423
waaU,ptsI_V25I,0.9685428311451969
group_17287,ptsI_V25I,0.9167725433387619
group_15878,ptsI_V25I,0.9805742052214658
group_19044,ptsI_V25I,0.9883718839038921
group_11443,vactox,0.8470392635604118
uvrY,ptsI_V25I,-0.8834815639286918
group_16388,vactox,0.889210810643312
group_21522,ptsI_V25I,0.9004851598881918
group_10139,ptsI_V25I,0.8877480659693112
rfaJ,ptsI_V25I,0.9765716561243943
nmpC_1,vactox,0.8343038144277004
rhtB,ptsI_V25I,-0.9174892202771646
group_16629,ptsI_V25I,0.9142659162803626
dcuS,vactox,0.8013703658298567
rfaI,ptsI_V25I,0.9693362130058283
group_19046,ptsI_V25I,0.9802480041307933
lacY,vactox,-0.8841688277710383
group_26313,ptsI_V25I,0.905876803313004
group_8333,vactox,0.827542758961244
rfaG_1,ptsI_V25I,0.9156462494073776
fepE,ptsI_V25I,-0.9725612395393397
group_25847,parE_I529L,0.8118921219086441
waaP,ptsI_V25I,-0.8565539076196892
group_10683,vactox,0.8244199263162403
group_21518,ptsI_V25I,0.905876803313004
group_26312,ptsI_V25I,0.905876803313004
group_19042,ptsI_V25I,0.905876803313004
group_21520,ptsI_V25I,0.905876803313004
group_21517,ptsI_V25I,0.905876803313004
lutR,ptsI_V25I,0.905876803313004
group_21519,ptsI_V25I,0.905876803313004
group_14906,vactox,-0.8015396110193194
rtcB,ptsI_V25I,0.8514574332724406
fimA_2,vactox,0.8245044007160218
group_21566,ptsI_V25I,0.9097179569829456
group_18621,vactox,-0.8955424435162721
mngB,ptsI_V25I,0.8284600690627275
group_21565,ptsI_V25I,0.9063339648659294
lyxK,vactox,0.8000689622286247
group_4289,vactox,0.8218686099752003
group_5884,ptsI_V25I,0.9005128171414808
fadE,ptsI_V25I,-0.9589136769349768
group_9108,vactox,0.853308934206869
group_26337,ptsI_V25I,0.9449646791648215
group_24361,vactox,0.8012935805027125
group_26335,ptsI_V25I,0.9449646791648215
ecpD,ptsI_V25I,0.9449646791648215
yaiO_1,vactox,0.824661842444074
fimD_2,vactox,0.8373676507801223
yigF,ptsI_V25I,0.951877544578409
group_15057,ptsI_V25I,0.9518775445784089
group_3560,ptsI_V25I,0.8474701395402431
group_21193,ptsI_V25I,0.928197599535119
lacA,vactox,0.8290959708442861
yicI_1,ptsI_V25I,0.9027911425871239
group_12459,ptsI_V25I,0.9348183515092536
group_15877,ptsI_V25I,0.9036654132100868
group_5429,ptsI_V25I,0.8592419108972201
group_21531,ptsI_V25I,0.9089874795147953
group_26332,ptsI_V25I,0.9078990733016031
group_24328,vactox,0.8112022627912823
group_21567,ptsI_V25I,0.9027911425871239
yeeO,clbN,-0.8188503189406883
group_26333,ptsI_V25I,0.9121235321357906
group_21529,ptsI_V25I,0.9121235321357906
group_21530,ptsI_V25I,0.9121235321357906
group_13721,ptsI_V25I,0.8994224103381142
group_26331,ptsI_V25I,0.9089874795147953
group_6805,ptsI_V25I,0.8685339174542387
group_7123,vactox,-0.8015906883710573
sphX,ptsI_V25I,0.9078990733016031
group_26372,ptsI_V25I,0.902791142587124
