feature,shap_importance,feature_type
ybeT,0.19853213,Novel
group_3820,0.17027573,Novel
yhjK_2,0.14022735,Novel
group_11074,0.1169573,Novel
group_24688,0.112065,Novel
traL,0.1024496,Novel
hsdR,0.08491449,Novel
group_7497,0.083635114,Novel
group_5999,0.08017963,Novel
group_16945,0.07553621,Novel
fucA_3,0.07120164,Novel
group_7221,0.06065877,Novel
group_16687,0.06062352,Novel
group_18988,0.05618534,Novel
group_11744,0.053371746,Novel
group_9728,0.052165363,Novel
sopB,0.051997837,Novel
group_3326,0.047369383,Novel
mtnA,0.046194192,Novel
group_16811,0.043776378,Novel
