#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ryder/AMR_PROJECT/assemblies/11658_6_28.fa	ERZ3164504.1	13753	14137	marA	1-385/385	===============	0/0	100.00	97.66	card	NC_007779:1621288-1621672
/home/ryder/AMR_PROJECT/assemblies/11658_6_28.fa	ERZ3164504.1	372173	372590	Escherichia_coli_emrE	410-825/1244	....====/==....	1/2	33.44	91.87	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11658_6_28.fa	ERZ3164504.1	468883	470291	mdtK	1-1409/1425	========/======	2/4	98.74	75.27	card	CP014358.1:2161326-2162751
/home/ryder/AMR_PROJECT/assemblies/11658_6_28.fa	ERZ3164504.1	523993	524197	Escherichia_coli_emrE	1-205/1244	===............	0/0	16.48	93.66	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11658_6_28.fa	ERZ3164504.10	271	348	Escherichia_coli_emrE	128-205/1244	.==............	0/0	6.27	89.74	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11658_6_28.fa	ERZ3164504.11	53480	54712	mdfA	1-1233/1233	===============	0/0	100.00	96.35	card	JQ394987:1-1234
/home/ryder/AMR_PROJECT/assemblies/11658_6_28.fa	ERZ3164504.12	75248	78362	acrD	1-3115/3115	===============	0/0	100.00	98.56	card	NC_007779:2586251-2589365
/home/ryder/AMR_PROJECT/assemblies/11658_6_28.fa	ERZ3164504.13	56541	57909	cpxA	7-1375/1375	===============	0/0	99.56	98.54	card	NC_002695:4903562-4904936
/home/ryder/AMR_PROJECT/assemblies/11658_6_28.fa	ERZ3164504.13	57905	58603	Escherichia_coli_CpxR	1-699/699	===============	0/0	100.00	99.14	card	CP015085.1:3009840-3010539
/home/ryder/AMR_PROJECT/assemblies/11658_6_28.fa	ERZ3164504.17	8820	10286	mdtP	1-1467/1467	===============	0/0	100.00	97.82	card	AP009048:4303043-4304510
/home/ryder/AMR_PROJECT/assemblies/11658_6_28.fa	ERZ3164504.17	10283	12334	mdtO	1-2052/2052	===============	0/0	100.00	97.03	card	AP009048:4304506-4306558
