#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.10	25069	25424	tet34	66-421/465	.=======/=====.	2/2	76.34	75.35	card	AB061440:306-771
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.11	69329	70027	Escherichia_coli_CpxR	1-699/699	===============	0/0	100.00	97.57	card	CP015085.1:3009840-3010539
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.11	70023	71397	cpxA	1-1375/1375	===============	0/0	100.00	98.98	card	NC_002695:4903562-4904936
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.12	82630	83862	mdfA	1-1233/1233	===============	0/0	100.00	96.84	card	JQ394987:1-1234
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.149	269	1329	TEM-4	1-1061/1061	===============	0/0	100.00	99.06	card	NG_050265:1-1062
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.15	6305	7274	PmrF	1-970/970	===============	0/0	100.00	96.70	card	U00096:2367071-2368040
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.16	51006	54155	acrB	1-3150/3150	===============	0/0	100.00	99.14	card	NC_000913.3:481254-484404
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.16	54178	55371	Escherichia_coli_acrA	1-1194/1194	===============	0/0	100.00	99.00	card	NC_000913.3:484426-485620
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.19	53571	54294	baeR	1-724/724	===============	0/0	100.00	96.27	card	NC_007779:2166413-2167136
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.19	54290	55694	baeS	1-1405/1405	===============	0/0	100.00	91.17	card	AP009048:2165013-2166417
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.19	57106	60184	mdtC	1-3079/3079	===============	0/0	100.00	95.81	card	U00096:2158386-2161464
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.19	60184	63307	mdtB	1-3124/3124	===============	0/0	100.00	96.29	card	U00096:2155263-2158386
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.19	63306	64554	mdtA	1-1249/1249	===============	0/0	100.00	97.04	card	U00096:2154016-2155264
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.195	79	190	Escherichia_coli_emrE	81-192/1244	===............	0/0	9.00	83.93	card	Z11877.1:1-1245
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.2	64783	65727	leuO	1-945/945	===============	0/0	100.00	97.35	card	NC_000913.3:84368-85313
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.2	157242	158884	YojI	1-1644/1644	========/======	1/1	99.94	99.03	card	NC_000913.3:1-1645
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.2	165227	166096	Escherichia_coli_rob	1-870/870	===============	0/0	100.00	97.59	card	NC_000913.3:4634441-4635311
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.21	69116	69793	kdpE	1-678/678	===============	0/0	100.00	97.49	card	NC_000913.3:721056-721734
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.21	73986	74128	kdpE	535-678/678	......../...===	1/1	21.09	91.67	card	NC_000913.3:721056-721734
/home/ryder/AMR_PROJECT/assemblies/11679_8_56.fa	ERZ3165553.22	40035	43149	acrD	1-3115/3115	===============	0/0	100.00	98.88	card	NC_007779:2586251-2589365
