#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.102	1280	2140	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	JF910132
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.107	1	1172	tet(A)_4	1-1172/1200	===============	0/0	97.67	100.00	resfinder	AJ517790
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.110	1	78	catB4_1	443-520/549	............===	0/0	14.21	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.110	1486	1592	tet(A)_2	1094-1200/1200	.............==	0/0	8.92	100.00	resfinder	X00006
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.119	704	1213	dfrA8_1	1-510/510	===============	0/0	100.00	100.00	resfinder	U10186
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.119	1253	1333	catB4_1	439-519/549	...........====	0/0	14.75	98.77	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.204	1	77	catB4_1	442-518/549	............===	0/0	14.03	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.34	40778	40856	tet(A)_2	1094-1172/1200	.............==	0/0	6.58	100.00	resfinder	X00006
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.56	280	386	catB4_1	443-549/549	............===	0/0	19.49	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.56	16878	16956	catB4_1	443-521/549	............===	0/0	14.39	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.63	1	78	catB4_1	443-520/549	............===	0/0	14.21	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.63	148	1069	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.63	6364	7290	sul1_2	1-927/927	===============	0/0	100.00	100.00	resfinder	CP002151
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.63	7750	8538	aadA5_1	1-789/789	===============	0/0	100.00	100.00	resfinder	AF137361
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.63	8669	9142	dfrA17_1	1-474/474	===============	0/0	100.00	100.00	resfinder	FJ460238
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.63	9161	9327	aadA1_1	1-174/972	===...../......	3/7	17.18	95.98	resfinder	X02340
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.84	4034	4112	catB4_1	443-521/549	............===	0/0	14.39	100.00	resfinder	EU935739
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.86	2533	3408	blaCTX-M-27_1	1-876/876	===============	0/0	100.00	100.00	resfinder	EU916273
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.97	107	943	strB_1	1-837/837	===============	0/0	100.00	99.88	resfinder	M96392
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.97	943	1745	strA_4	1-804/804	========/======	1/1	99.88	99.88	resfinder	AF321551
/home/ryder/AMR_PROJECT/assemblies/18090_6_38.fa	ERZ3484952.97	1806	2621	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	GQ421466
