feature,shap_importance,feature_type
TEM-4,0.79163694,Tier2+Tier1B
blaOXA-1,0.4131908,Tier2+Tier1B
tnpR,0.40049925,Novel
group_24688,0.13365838,Novel
parC_V244L,0.120443344,Tier2+Tier1B
OXA-1,0.119529314,Tier2+Tier1B
insA_1,0.11634273,Novel
group_3326,0.11521806,Novel
group_5884,0.11510452,Novel
wcaM,0.10336004,Novel
blaTEM-1B_1,0.09620096,Tier2+Tier1B
blaTEM-1,0.09325092,Tier2+Tier1B
gyrA_T654S,0.09318173,Tier2+Tier1B
group_17656,0.09183902,Novel
group_7896,0.08993827,Novel
ompC_N357K,0.0736001,Tier2+Tier1B
group_312,0.0689868,Novel
group_16955,0.06730408,Novel
ompC_G362R,0.06543746,Tier2+Tier1B
parC_S80I,0.06386144,Tier2+Tier1B
parE_L397F,0.05992343,Tier2+Tier1B
sopB,0.057974197,Novel
group_8914,0.05738951,Novel
yfeA,0.055218596,Novel
phoP_L129I,0.053294465,Tier2+Tier1B
robA_T213S,0.052338175,Tier2+Tier1B
sul1,0.05091188,Tier2+Tier1B
pmrB_L228F,0.0486774,Tier2+Tier1B
tet(A)_4,0.04797638,Tier2+Tier1B
group_16990,0.045599684,Novel
group_13334,0.04548381,Novel
group_16885,0.044038415,Novel
group_7221,0.043714743,Novel
group_14353,0.043489497,Novel
group_9002,0.04318033,Novel
pemK,0.0416342,Novel
gyrA_S83L,0.041367557,Tier2+Tier1B
vapB_2,0.04074461,Novel
group_18513,0.038338788,Novel
tet(A),0.03626535,Tier2+Tier1B
aadA1,0.035830505,Tier2+Tier1B
group_20927,0.034682468,Novel
parE_D403H,0.03459265,Tier2+Tier1B
dcp,0.033209026,Novel
tnpA_1,0.032918643,Novel
blaTEM-1C_5,0.0324955,Tier2+Tier1B
parC_G107C,0.032358352,Tier2+Tier1B
group_2853,0.032303765,Novel
rpsL_G84C,0.031830415,Tier2+Tier1B
group_14300,0.03131766,Novel
parC_S658R,0.031240027,Tier2+Tier1B
blaOXA-1_1,0.030947236,Tier2+Tier1B
group_4506,0.030769588,Novel
gyrA_E662K,0.029904712,Tier2+Tier1B
parE_G197C,0.029632697,Tier2+Tier1B
rpoB_C397R,0.02939746,Tier2+Tier1B
mphA,0.02926824,Tier2+Tier1B
group_9500,0.028712185,Novel
tamB,0.027475582,Novel
yagE_3,0.02728048,Novel
group_6211,0.026875034,Novel
thyA_S125P,0.026708351,Tier2+Tier1B
group_16694,0.026661651,Novel
phoQ_N385Y,0.026532546,Tier2+Tier1B
ampC_D367A,0.026514264,Tier2+Tier1B
gyrB_S347T,0.025652247,Tier2+Tier1B
gatA,0.025342193,Novel
gyrB_S70P,0.025304427,Tier2+Tier1B
group_9616,0.024996644,Novel
fliF,0.024721276,Novel
gyrA_T632P,0.02460689,Tier2+Tier1B
strA_4,0.024590028,Tier2+Tier1B
tet(B)_4,0.024049735,Tier2+Tier1B
C,0.024042698,Novel
sul2_2,0.024006426,Tier2+Tier1B
APH(3'')-Ib,0.023895273,Tier2+Tier1B
SHV-102,0.02353823,Tier2+Tier1B
parC_T202S,0.022875834,Tier2+Tier1B
PmrE,0.0227104,Tier2+Tier1B
group_15556,0.021209747,Novel
gyrB_E680K,0.021097835,Tier2+Tier1B
robA_S187R,0.02062275,Tier2+Tier1B
group_1857,0.020523386,Novel
intI,0.020372,Novel
marR_V3E,0.020239966,Tier2+Tier1B
gyrA_L317F,0.020238312,Tier2+Tier1B
phoP_T156P,0.020219652,Tier2+Tier1B
yhdJ_2,0.020005276,Novel
folP_A247S,0.019904252,Tier2+Tier1B
APH(6)-Id,0.01989746,Tier2+Tier1B
parC_L714F,0.019845864,Tier2+Tier1B
ydeH_2,0.01952902,Novel
X,0.019438364,Novel
merT,0.019283758,Tier2+Tier1B
ftsI_D384E,0.019141398,Tier2+Tier1B
group_24893,0.019130372,Novel
parE_V450F,0.019103918,Tier2+Tier1B
group_15871,0.01910168,Novel
group_25847,0.019101594,Novel
group_14256,0.01881486,Novel
gyrA_D310H,0.018797887,Tier2+Tier1B
phoP_S120C,0.018059459,Tier2+Tier1B
phoP_L176I,0.01799458,Tier2+Tier1B
parE_A491S,0.017543249,Tier2+Tier1B
group_8037,0.017167997,Novel
merC,0.017089674,Tier2+Tier1B
group_26087,0.017037978,Novel
merR,0.016998168,Tier2+Tier1B
tnsB,0.016714687,Novel
ampC_S298I,0.01665826,Tier2+Tier1B
gyrA_P608T,0.016557338,Tier2+Tier1B
merA_2,0.016359946,Novel
robA_T213P,0.016308416,Tier2+Tier1B
ftsI_*88Y,0.016086234,Tier2+Tier1B
mdtM.1,0.016031386,Tier2+Tier1B
group_11114,0.015997497,Novel
group_11770,0.015953645,Novel
dfrA1,0.015658721,Tier2+Tier1B
ompC_G133R,0.015531262,Tier2+Tier1B
ompF_G58C,0.015283581,Tier2+Tier1B
parC_A194P,0.014909683,Tier2+Tier1B
group_18642,0.014835993,Novel
yadK,0.014698689,Novel
dppA_1,0.014658037,Novel
group_8211,0.014476734,Novel
parE_A383S,0.014445242,Tier2+Tier1B
ampC_V46M,0.014384702,Tier2+Tier1B
parC_G528R,0.014362824,Tier2+Tier1B
gyrA_L492V,0.014325859,Tier2+Tier1B
sul2,0.014318548,Tier2+Tier1B
group_5988,0.014263908,Novel
gyrA_T654A,0.014226378,Tier2+Tier1B
ompC_Y119H,0.014176889,Tier2+Tier1B
rpoB_N283K,0.013994531,Tier2+Tier1B
group_6563,0.013974291,Novel
parE_R378C,0.013928529,Tier2+Tier1B
pmrB_A310T,0.0136742005,Tier2+Tier1B
gyrA_L463F,0.01364706,Tier2+Tier1B
tolC_H248Q,0.013573393,Tier2+Tier1B
parC_A471G,0.01332355,Tier2+Tier1B
group_3308,0.013280524,Novel
ompC_G211R,0.013003524,Tier2+Tier1B
ompC_V201F,0.01297769,Tier2+Tier1B
group_20717,0.012939081,Novel
parE_R303C,0.01291545,Tier2+Tier1B
phoP_P45S,0.012888534,Tier2+Tier1B
tet(D),0.0126135815,Tier2+Tier1B
folP_S94A,0.012517358,Tier2+Tier1B
group_11934,0.012493659,Novel
chpB,0.012420492,Novel
robA_A91S,0.012234786,Tier2+Tier1B
