feature,shap_importance,feature_type
group_8350,0.28473946,Novel
group_12513,0.25275406,Novel
group_12337,0.21357659,Novel
group_16337,0.16084854,Novel
yicJ_2,0.12882882,Novel
chpB,0.12586579,Novel
group_4551,0.10598849,Novel
group_8907,0.105879955,Novel
group_17014,0.10265959,Novel
group_9126,0.08456676,Novel
group_13365,0.07999447,Novel
group_16890,0.07063136,Novel
group_20717,0.060508735,Novel
frwC,0.060368765,Novel
yieH,0.056612723,Novel
group_4289,0.054479703,Novel
group_16613,0.047251184,Novel
ybcQ,0.044934023,Novel
group_24688,0.038740512,Novel
ybl149,0.03774459,Novel
