feature,shap_importance,feature_type
tnpR,0.25730017,Novel
ybeT,0.17734598,Novel
yhjK_2,0.15166229,Novel
group_3820,0.13665535,Novel
group_24688,0.1236989,Novel
traL,0.1023025,Novel
group_11074,0.09857862,Novel
yedE,0.09589493,Novel
group_14256,0.09372722,Novel
group_16945,0.084889695,Novel
fucA_3,0.08095102,Novel
fII,0.06875205,Novel
group_5999,0.060608055,Novel
neo,0.056134693,Novel
group_11744,0.055327743,Novel
group_16226,0.052722096,Novel
group_3308,0.05192425,Novel
group_18272,0.04787809,Novel
group_17014,0.04554952,Novel
sopB,0.042645663,Novel
