feature,shap_importance,feature_type
gyrA_V85F,1.9674354,Tier2+Tier1B
gyrA_S83L,1.746163,Tier2+Tier1B
group_8350,0.28473946,Novel
PmrE,0.27167633,Tier2+Tier1B
parE_L397F,0.26473877,Tier2+Tier1B
group_12513,0.25275406,Novel
folP_E73A,0.23594894,Tier2+Tier1B
group_12337,0.21357659,Novel
ompC_G133R,0.18980837,Tier2+Tier1B
gyrA_T654S,0.17122842,Tier2+Tier1B
group_16337,0.16084854,Novel
phoP_G53*,0.15262091,Tier2+Tier1B
yicJ_2,0.12882882,Novel
gyrA_T658P,0.12866543,Tier2+Tier1B
chpB,0.12586579,Novel
phoP_frameshift_insertion_1bp_pos1189670,0.11703507,Tier2+Tier1B
group_4551,0.10598849,Novel
group_8907,0.105879955,Novel
group_17014,0.10265959,Novel
parC_S80C,0.0997581,Tier2+Tier1B
parC_S80I,0.096333265,Tier2+Tier1B
group_9126,0.08456676,Novel
TEM-4,0.08124991,Tier2+Tier1B
group_13365,0.07999447,Novel
phoQ_Q479K,0.07090793,Tier2+Tier1B
group_16890,0.07063136,Novel
sul2.1,0.064031415,Tier2+Tier1B
group_20717,0.060508735,Novel
frwC,0.060368765,Novel
folP_R235C,0.060061034,Tier2+Tier1B
yieH,0.056612723,Novel
group_4289,0.054479703,Novel
blaTEM-1,0.05126919,Tier2+Tier1B
parE_Q341E,0.050795488,Tier2+Tier1B
group_16613,0.047251184,Novel
gyrA_I198L,0.045573074,Tier2+Tier1B
ybcQ,0.044934023,Novel
phoQ_E473K,0.04148403,Tier2+Tier1B
group_24688,0.038740512,Novel
ybl149,0.03774459,Novel
folP_A151P,0.037337605,Tier2+Tier1B
sopB,0.03717833,Novel
bglH_2,0.034622505,Novel
blaTEM-1B_1,0.034191992,Tier2+Tier1B
sul2,0.032194912,Tier2+Tier1B
SAT-1,0.030364204,Tier2+Tier1B
folP_G65R,0.029122202,Tier2+Tier1B
parE_A369T,0.028793657,Tier2+Tier1B
higB-1,0.027896939,Novel
group_7221,0.025950177,Novel
group_7650,0.024657862,Novel
gyrA_P215T,0.024009345,Tier2+Tier1B
group_7123,0.023390519,Novel
parD1,0.022445919,Novel
ampC_D367A,0.021666553,Tier2+Tier1B
rfaL,0.021502009,Novel
yaiO_1,0.019863086,Novel
pmrB_D286G,0.019104034,Tier2+Tier1B
rpoB_W633*,0.018549789,Tier2+Tier1B
dfrA1,0.017738163,Tier2+Tier1B
mngB,0.01758136,Novel
phoP_H15Y,0.017329607,Tier2+Tier1B
gyrB_A384S,0.01643367,Tier2+Tier1B
