#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/home/ryder/AMR_PROJECT/assemblies/11658_3_9.fa	ERZ3164652.1	47150	48558	mdtK	1-1409/1425	========/======	2/4	98.74	75.05	card	CP014358.1:2161326-2162751
/home/ryder/AMR_PROJECT/assemblies/11658_3_9.fa	ERZ3164652.100	1561	1975	H-NS	1-415/415	===============	0/0	100.00	99.52	card	NC_002695:1737554-1737968
/home/ryder/AMR_PROJECT/assemblies/11658_3_9.fa	ERZ3164652.103	502	1562	TEM-4	1-1061/1061	===============	0/0	100.00	99.06	card	NG_050265:1-1062
/home/ryder/AMR_PROJECT/assemblies/11658_3_9.fa	ERZ3164652.11	48938	50404	mdtP	1-1467/1467	===============	0/0	100.00	96.86	card	AP009048:4303043-4304510
/home/ryder/AMR_PROJECT/assemblies/11658_3_9.fa	ERZ3164652.11	50401	52452	mdtO	1-2052/2052	===============	0/0	100.00	96.73	card	AP009048:4304506-4306558
/home/ryder/AMR_PROJECT/assemblies/11658_3_9.fa	ERZ3164652.11	52452	53483	mdtN	1-1032/1032	===============	0/0	100.00	97.87	card	AP009048:4306557-4307589
/home/ryder/AMR_PROJECT/assemblies/11658_3_9.fa	ERZ3164652.11	76027	77671	PmrC	1-1645/1645	===============	0/0	100.00	98.12	card	AP009048:4338625-4340269
/home/ryder/AMR_PROJECT/assemblies/11658_3_9.fa	ERZ3164652.12	42380	43867	tolC	1-1488/1488	===============	0/0	100.00	99.80	card	FJ768952:1-1489
/home/ryder/AMR_PROJECT/assemblies/11658_3_9.fa	ERZ3164652.12	66244	67066	bacA	1-823/823	===============	0/0	100.00	100.00	card	U00096:3203310-3204132
/home/ryder/AMR_PROJECT/assemblies/11658_3_9.fa	ERZ3164652.12	82428	83807	patA	1-1380/1380	===============	0/0	100.00	100.00	card	NC_000913.3:3219494-3220874
/home/ryder/AMR_PROJECT/assemblies/11658_3_9.fa	ERZ3164652.14	64918	65616	Escherichia_coli_CpxR	1-699/699	===============	0/0	100.00	98.28	card	CP015085.1:3009840-3010539
/home/ryder/AMR_PROJECT/assemblies/11658_3_9.fa	ERZ3164652.14	65612	66986	cpxA	1-1375/1375	===============	0/0	100.00	97.82	card	NC_002695:4903562-4904936
/home/ryder/AMR_PROJECT/assemblies/11658_3_9.fa	ERZ3164652.16	53003	54170	PmrE	1-1168/1168	===============	0/0	100.00	95.98	card	U00096:2098447-2099614
/home/ryder/AMR_PROJECT/assemblies/11658_3_9.fa	ERZ3164652.17	28897	32491	evgS	1-3595/3595	===============	0/0	100.00	96.63	card	U00096:2484374-2487968
/home/ryder/AMR_PROJECT/assemblies/11658_3_9.fa	ERZ3164652.17	32495	33110	evgA	1-616/616	===============	0/0	100.00	99.19	card	NC_002695:3211892-3212507
