feature,shap_importance,feature_type
tnpR,0.40049925,Novel
group_24688,0.13365838,Novel
insA_1,0.11634273,Novel
group_3326,0.11521806,Novel
group_5884,0.11510452,Novel
wcaM,0.10336004,Novel
group_17656,0.09183902,Novel
group_7896,0.08993827,Novel
group_312,0.0689868,Novel
group_16955,0.06730408,Novel
sopB,0.057974197,Novel
group_8914,0.05738951,Novel
yfeA,0.055218596,Novel
group_16990,0.045599684,Novel
group_13334,0.04548381,Novel
group_16885,0.044038415,Novel
group_7221,0.043714743,Novel
group_14353,0.043489497,Novel
group_9002,0.04318033,Novel
pemK,0.0416342,Novel
