feature,shap_importance,feature_type
group_16337,0.2329049,Novel
group_13365,0.22706863,Novel
group_8907,0.19080462,Novel
group_9126,0.14641576,Novel
ybcQ,0.074783206,Novel
group_16890,0.05925979,Novel
group_24688,0.055620126,Novel
chpB,0.04785378,Novel
chpS,0.04028784,Novel
group_3308,0.03125005,Novel
group_20717,0.026545655,Novel
group_11114,0.026463065,Novel
sopA,0.025654327,Novel
yggM,0.021906987,Novel
group_12558,0.0215204,Novel
sopB,0.015037864,Novel
group_5974,0.010546264,Novel
yiaM_1,0.0070179394,Novel
group_7650,0.006485571,Novel
ygjO,0.0063767247,Novel
