#FILE,SEQUENCE,START,END,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,ISOLATE_ID
/home/ryder/AMR_PROJECT/assemblies/11679_5_79.fa,ERZ3166144.102,714,820,catB4_1,443-549/549,............===,0/0,19.49,100.0,resfinder,EU935739,11679_5_79
/home/ryder/AMR_PROJECT/assemblies/11679_5_79.fa,ERZ3166144.66,4141,5346,tet(B)_4,1-1206/1206,===============,0/0,100.0,100.0,resfinder,AF326777,11679_5_79
/home/ryder/AMR_PROJECT/assemblies/11679_5_79.fa,ERZ3166144.73,118,777,catA1_1,1-660/660,===============,0/0,100.0,99.85,resfinder,V00622,11679_5_79
/home/ryder/AMR_PROJECT/assemblies/11679_5_79.fa,ERZ3166144.75,1,68,catB4_1,442-509/549,............==.,0/0,12.39,100.0,resfinder,EU935739,11679_5_79
/home/ryder/AMR_PROJECT/assemblies/11679_5_79.fa,ERZ3166144.75,76,912,strB_1,1-837/837,===============,0/0,100.0,100.0,resfinder,M96392,11679_5_79
/home/ryder/AMR_PROJECT/assemblies/11679_5_79.fa,ERZ3166144.75,912,1715,strA_4,1-804/804,===============,0/0,100.0,100.0,resfinder,AF321551,11679_5_79
/home/ryder/AMR_PROJECT/assemblies/11679_5_79.fa,ERZ3166144.75,1776,2591,sul2_3,1-816/816,===============,0/0,100.0,100.0,resfinder,HQ840942,11679_5_79
/home/ryder/AMR_PROJECT/assemblies/11679_5_79.fa,ERZ3166144.75,4454,4520,catB4_1,443-509/549,............==.,0/0,12.2,100.0,resfinder,EU935739,11679_5_79
/home/ryder/AMR_PROJECT/assemblies/11679_5_79.fa,ERZ3166144.82,65,520,dfrA17_1,1-456/474,===============,0/0,96.2,100.0,resfinder,FJ460238,11679_5_79
/home/ryder/AMR_PROJECT/assemblies/11679_5_79.fa,ERZ3166144.82,539,705,aadA1_1,1-174/972,===...../......,3/7,17.18,95.98,resfinder,X02340,11679_5_79
/home/ryder/AMR_PROJECT/assemblies/11679_5_79.fa,ERZ3166144.82,2483,2550,catB4_1,441-508/549,............==.,0/0,12.39,100.0,resfinder,EU935739,11679_5_79
/home/ryder/AMR_PROJECT/assemblies/11679_5_79.fa,ERZ3166144.91,148,1008,blaTEM-1B_1,1-861/861,===============,0/0,100.0,100.0,resfinder,JF910132,11679_5_79
/home/ryder/AMR_PROJECT/assemblies/11679_6_50.fa,ERZ3165583.109,1553,1718,aadA1_1,1-173/972,===...../......,3/7,17.08,95.95,resfinder,X02340,11679_6_50
/home/ryder/AMR_PROJECT/assemblies/11679_6_50.fa,ERZ3165583.122,1,67,catB4_1,443-509/549,............==.,0/0,12.2,100.0,resfinder,EU935739,11679_6_50
/home/ryder/AMR_PROJECT/assemblies/11679_6_50.fa,ERZ3165583.122,205,1020,aph(3')-Ia_1,1-816/816,===============,0/0,100.0,100.0,resfinder,V00359,11679_6_50
/home/ryder/AMR_PROJECT/assemblies/11679_6_50.fa,ERZ3165583.132,1,107,catB4_1,443-549/549,............===,0/0,19.49,100.0,resfinder,EU935739,11679_6_50
/home/ryder/AMR_PROJECT/assemblies/11679_6_50.fa,ERZ3165583.139,1,67,catB4_1,443-509/549,............==.,0/0,12.2,100.0,resfinder,EU935739,11679_6_50
/home/ryder/AMR_PROJECT/assemblies/11679_6_50.fa,ERZ3165583.139,551,617,aadA1_1,107-173/972,.==............,0/0,6.89,100.0,resfinder,X02340,11679_6_50
/home/ryder/AMR_PROJECT/assemblies/11679_6_50.fa,ERZ3165583.36,23052,23407,tet(34)_1,66-421/465,.=======/=====.,2/2,76.34,75.35,resfinder,AB061440,11679_6_50
/home/ryder/AMR_PROJECT/assemblies/11679_6_50.fa,ERZ3165583.50,15755,16954,tet(A)_4,1-1200/1200,===============,0/0,100.0,100.0,resfinder,AJ517790,11679_6_50
/home/ryder/AMR_PROJECT/assemblies/11679_6_50.fa,ERZ3165583.67,4075,5280,tet(B)_4,1-1206/1206,===============,0/0,100.0,100.0,resfinder,AF326777,11679_6_50
/home/ryder/AMR_PROJECT/assemblies/11679_6_50.fa,ERZ3165583.74,1,77,aadA1_1,107-184/972,.==...../......,1/1,7.92,96.15,resfinder,X02340,11679_6_50
/home/ryder/AMR_PROJECT/assemblies/11679_6_50.fa,ERZ3165583.74,74,571,dfrA12_1,1-498/498,===============,0/0,100.0,100.0,resfinder,AB571791,11679_6_50
/home/ryder/AMR_PROJECT/assemblies/11679_6_50.fa,ERZ3165583.74,979,1770,aadA2_2,1-792/792,===============,0/0,100.0,100.0,resfinder,JQ364967,11679_6_50
/home/ryder/AMR_PROJECT/assemblies/11679_6_50.fa,ERZ3165583.74,2188,3114,sul1_2,1-927/927,===============,0/0,100.0,100.0,resfinder,CP002151,11679_6_50
/home/ryder/AMR_PROJECT/assemblies/11679_6_50.fa,ERZ3165583.74,5141,5208,catB4_1,442-509/549,............==.,0/0,12.39,100.0,resfinder,EU935739,11679_6_50
/home/ryder/AMR_PROJECT/assemblies/11658_4_74.fa,ERZ3165871.124,1,107,catB4_1,443-549/549,............===,0/0,19.49,100.0,resfinder,EU935739,11658_4_74
/home/ryder/AMR_PROJECT/assemblies/11658_4_74.fa,ERZ3165871.25,44854,45729,blaCTX-M-15_23,1-876/876,===============,0/0,100.0,100.0,resfinder,DQ302097,11658_4_74
/home/ryder/AMR_PROJECT/assemblies/11658_4_74.fa,ERZ3165871.32,647,1507,blaTEM-1B_1,1-861/861,===============,0/0,100.0,100.0,resfinder,JF910132,11658_4_74
/home/ryder/AMR_PROJECT/assemblies/11658_4_74.fa,ERZ3165871.34,37294,37767,dfrA1_1,1-474/474,===============,0/0,100.0,100.0,resfinder,X00926,11658_4_74
/home/ryder/AMR_PROJECT/assemblies/11658_4_74.fa,ERZ3165871.34,38433,38918,aadA1_1,170-655/972,..=========....,0/0,50.0,100.0,resfinder,X02340,11658_4_74
/home/ryder/AMR_PROJECT/assemblies/11658_4_74.fa,ERZ3165871.54,10075,10141,catB4_1,443-509/549,............==.,0/0,12.2,100.0,resfinder,EU935739,11658_4_74
/home/ryder/AMR_PROJECT/assemblies/11658_4_74.fa,ERZ3165871.62,6890,6957,catB4_1,442-509/549,............==.,0/0,12.39,100.0,resfinder,EU935739,11658_4_74
/home/ryder/AMR_PROJECT/assemblies/11658_4_74.fa,ERZ3165871.80,1,67,catB4_1,443-509/549,............==.,0/0,12.2,100.0,resfinder,EU935739,11658_4_74
/home/ryder/AMR_PROJECT/assemblies/11658_4_74.fa,ERZ3165871.80,1764,2624,aac(3)-IIa_1,1-861/861,===============,0/0,100.0,99.77,resfinder,X51534,11658_4_74
/home/ryder/AMR_PROJECT/assemblies/11658_4_74.fa,ERZ3165871.86,1,508,catB4_1,1-508/549,==============.,0/0,92.53,100.0,resfinder,EU935739,11658_4_74
/home/ryder/AMR_PROJECT/assemblies/11658_4_74.fa,ERZ3165871.86,646,1476,blaOXA-1_1,1-831/831,===============,0/0,100.0,100.0,resfinder,J02967,11658_4_74
/home/ryder/AMR_PROJECT/assemblies/11658_4_74.fa,ERZ3165871.86,1607,2206,aac(6')Ib-cr_1,1-600/600,===============,0/0,100.0,100.0,resfinder,DQ303918,11658_4_74
/home/ryder/AMR_PROJECT/assemblies/11658_4_74.fa,ERZ3165871.86,2253,2318,catB4_1,443-508/549,............==.,0/0,12.02,100.0,resfinder,EU935739,11658_4_74
/home/ryder/AMR_PROJECT/assemblies/11658_6_80.fa,ERZ3165361.17,98060,98415,tet(34)_1,66-421/465,.=======/=====.,2/2,76.34,75.35,resfinder,AB061440,11658_6_80
/home/ryder/AMR_PROJECT/assemblies/11791_6_5.fa,ERZ3164450.21,2546,3406,blaTEM-1A_4,1-861/861,===============,0/0,100.0,100.0,resfinder,HM749966,11791_6_5
/home/ryder/AMR_PROJECT/assemblies/11791_6_5.fa,ERZ3164450.21,48963,49823,blaTEM-1A_4,1-861/861,===============,0/0,100.0,100.0,resfinder,HM749966,11791_6_5
