#FILE,SEQUENCE,START,END,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,ISOLATE_ID
/home/ryder/AMR_PROJECT/assemblies/11657_7_19.fa,ERZ3164689.102,324,528,Col8282_1,1-205/207,===============,0/0,99.03,88.78,plasmidfinder,DQ995353,11657_7_19
/home/ryder/AMR_PROJECT/assemblies/11657_7_19.fa,ERZ3164689.106,2634,2895,IncFII(pRSB107)_1_pRSB107,1-261/261,========/======,1/1,100.0,96.18,plasmidfinder,AJ851089,11657_7_19
/home/ryder/AMR_PROJECT/assemblies/11657_7_19.fa,ERZ3164689.118,2433,2552,ColRNAI_1,13-130/130,.=======/======,2/2,90.77,87.5,plasmidfinder,DQ298019,11657_7_19
/home/ryder/AMR_PROJECT/assemblies/11657_7_19.fa,ERZ3164689.123,1101,1600,IncFIC(FII)_1,1-499/499,========/======,3/3,99.8,93.61,plasmidfinder,AP001918,11657_7_19
/home/ryder/AMR_PROJECT/assemblies/11657_7_19.fa,ERZ3164689.133,928,1189,Col(MG828)_1,1-262/262,===============,0/0,100.0,92.75,plasmidfinder,NC_008486,11657_7_19
/home/ryder/AMR_PROJECT/assemblies/11657_7_19.fa,ERZ3164689.26,2032,2173,IncI1_1_Alpha,1-142/142,===============,0/0,100.0,99.3,plasmidfinder,AP005147,11657_7_19
/home/ryder/AMR_PROJECT/assemblies/11657_7_19.fa,ERZ3164689.83,1058,1739,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.0,98.39,plasmidfinder,AP001918,11657_7_19
/home/ryder/AMR_PROJECT/assemblies/11657_7_19.fa,ERZ3164689.95,1389,1542,Col156_1,1-154/154,===============,0/0,100.0,91.56,plasmidfinder,NC_009781,11657_7_19
/home/ryder/AMR_PROJECT/assemblies/11679_4_30.fa,ERZ3165327.69,524,716,Col(BS512)_1__NC_010656_dupe,1-193/193,===============,0/0,100.0,100.0,plasmidfinder,,11679_4_30
/home/ryder/AMR_PROJECT/assemblies/11679_4_30.fa,ERZ3165327.69,788,1020,Col(BS512)_1,1-233/233,===============,0/0,100.0,100.0,plasmidfinder,NC_010656,11679_4_30
/home/ryder/AMR_PROJECT/assemblies/11658_4_75.fa,ERZ3165889.109,3,264,Col(MG828)_1,1-262/262,===============,0/0,100.0,91.98,plasmidfinder,NC_008486,11658_4_75
/home/ryder/AMR_PROJECT/assemblies/11658_4_75.fa,ERZ3165889.109,1552,1614,Col(MG828)_1,1-63/262,====...........,0/0,24.05,93.65,plasmidfinder,NC_008486,11658_4_75
/home/ryder/AMR_PROJECT/assemblies/11658_4_75.fa,ERZ3165889.21,31139,31698,IncFIB(pKPHS1)_1_pKPHS1,1-560/560,========/======,4/8,99.29,76.06,plasmidfinder,CP003223,11658_4_75
/home/ryder/AMR_PROJECT/assemblies/11658_4_75.fa,ERZ3165889.27,47036,47187,IncB/O/K/Z_1,1-151/151,========/======,1/1,100.0,98.03,plasmidfinder,CU928147,11658_4_75
/home/ryder/AMR_PROJECT/assemblies/11658_4_75.fa,ERZ3165889.49,6820,6973,Col156_1,1-154/154,===============,0/0,100.0,98.7,plasmidfinder,NC_009781,11658_4_75
