feature,shap_importance,feature_type
TEM-4,1.1145892,Tier2
blaOXA-1,0.41284564,Tier2
group_3326,0.18469673,Novel
OXA-1,0.15910299,Tier2
yfeA,0.15189736,Novel
parC_V244L,0.13639136,Tier2
gyrA_T654S,0.12805575,Tier2
group_24688,0.12722223,Novel
group_7896,0.10203559,Novel
wcaM,0.10076536,Novel
group_16955,0.09531984,Novel
insA_1,0.09518281,Novel
group_16990,0.08674162,Novel
blaTEM-1,0.08395437,Tier2
group_17656,0.07797215,Novel
parC_G107C,0.07201919,Tier2
group_312,0.06167812,Novel
parC_S80I,0.059805162,Tier2
ompC_N357K,0.059232354,Tier2
strA_4,0.056720436,Tier2
group_16885,0.05494433,Novel
ompC_G362R,0.054387912,Tier2
sul1,0.052559424,Tier2
tet(A)_4,0.050322447,Tier2
sopB,0.048679613,Novel
gyrA_S83L,0.047543976,Tier2
merA_2,0.046900377,Novel
ompC_G133R,0.045264747,Tier2
parC_S658R,0.04512558,Tier2
group_13334,0.044570442,Novel
blaTEM-1B_1,0.042765167,Tier2
phoP_G53*,0.042664513,Tier2
mdtM.1,0.04187282,Tier2
pmrB_L228F,0.041786164,Tier2
vapB_2,0.041080926,Novel
tet(B)_4,0.039567724,Tier2
yhdJ_2,0.039217196,Novel
gyrB_D74Y,0.03847263,Tier2
robA_T213S,0.036852594,Tier2
dfrA1,0.0362721,Tier2
robA_R119C,0.03592905,Tier2
gyrB_E680K,0.03577579,Tier2
group_20927,0.035418835,Novel
gyrA_A526P,0.035292443,Tier2
group_6211,0.03441559,Novel
phoP_S120C,0.034232635,Tier2
group_14353,0.03353674,Novel
fI,0.0324271,Novel
yagE_3,0.031489387,Novel
gyrA_E662K,0.031342223,Tier2
group_9616,0.030976932,Novel
tet(A),0.030947473,Tier2
group_185,0.030804874,Novel
C,0.029952185,Novel
ompF_T298S,0.029877981,Tier2
parE_G282R,0.029598739,Tier2
dfrA7,0.029316066,Tier2
SHV-102,0.028438106,Tier2
gyrB_T778S,0.028101703,Tier2
parE_T201P,0.027904393,Tier2
parE_G197C,0.026962997,Tier2
gyrB_V651L,0.02655756,Tier2
group_7221,0.026377201,Novel
group_11770,0.025467925,Novel
group_20868,0.025133735,Novel
phoQ_N385Y,0.02487542,Tier2
gyrB_T165S,0.024770973,Tier2
parE_A436S,0.024435483,Tier2
gyrB_S347T,0.024177916,Tier2
parC_T202S,0.024177363,Tier2
parC_E130K,0.024160156,Tier2
rpoB_C397R,0.02411759,Tier2
parE_R378C,0.024114762,Tier2
tet(A).1,0.023933582,Tier2
sul2_2,0.023774296,Tier2
thyA_S125P,0.023531275,Tier2
parE_L397F,0.02306474,Tier2
