feature,shap_importance,feature_type
TEM-4,1.6877698,Tier2
blaTEM-1,0.7270709,Tier2
ybeT,0.19853213,Novel
group_3820,0.17027573,Novel
blaTEM-1B_1,0.16428636,Tier2
ftsI_L192F,0.15689749,Tier2
yhjK_2,0.14022735,Novel
OXA-1,0.13920408,Tier2
group_11074,0.1169573,Novel
group_24688,0.112065,Novel
PmrE,0.11110807,Tier2
sul1,0.106510356,Tier2
aph(3'')-Ib,0.10310182,Tier2
traL,0.1024496,Novel
sul2.1,0.09510139,Tier2
hsdR,0.08491449,Novel
group_7497,0.083635114,Novel
ampC_D367A,0.08067121,Tier2
group_5999,0.08017963,Novel
gyrA_V85F,0.07597875,Tier2
group_16945,0.07553621,Novel
phoP_Y179H,0.07489673,Tier2
fucA_3,0.07120164,Novel
gyrB_G684R,0.0685586,Tier2
group_7221,0.06065877,Novel
group_16687,0.06062352,Novel
ompC_Q196E,0.060488783,Tier2
group_18988,0.05618534,Novel
group_11744,0.053371746,Novel
group_9728,0.052165363,Novel
sopB,0.051997837,Novel
group_3326,0.047369383,Novel
mtnA,0.046194192,Novel
ompC_T155P,0.04614742,Tier2
folP_S94A,0.045427565,Tier2
group_16811,0.043776378,Novel
prsE_2,0.0427341,Novel
sul1_2,0.04230031,Tier2
group_3308,0.041907966,Novel
tolC_R233S,0.04096864,Tier2
parC_S80C,0.040343557,Tier2
thyA_S125P,0.039401047,Tier2
ompC_G133R,0.03838717,Tier2
robA_D269H,0.038184106,Tier2
aadA,0.037979625,Tier2
yehM,0.036780592,Novel
group_1848,0.036483325,Novel
group_2371,0.036046486,Novel
phoQ_A482T,0.036023963,Tier2
sul1.1,0.034863606,Tier2
group_20866,0.034801386,Novel
parE_A457P,0.033403687,Tier2
ompC_V201F,0.033207033,Tier2
gyrB_T292S,0.032941297,Tier2
aph(6)-Id,0.032564912,Tier2
robA_P286S,0.03128255,Tier2
tamB,0.030790849,Novel
gyrA_S83L,0.03031024,Tier2
blaEC,0.028958755,Tier2
group_4655,0.02845608,Novel
group_6217,0.027751181,Novel
gyrB_D639Y,0.027229827,Tier2
ampC_V46M,0.025949428,Tier2
tolC_H248Q,0.025928752,Tier2
robA_T132S,0.025722403,Tier2
blaOXA-1_1,0.025601497,Tier2
gyrA_L317F,0.02475399,Tier2
folA_C54R,0.024637597,Tier2
robA_A91S,0.024358401,Tier2
parE_A383S,0.023362247,Tier2
pmrB_S192C,0.021839553,Tier2
sppA_2,0.021547418,Novel
group_9391,0.021458887,Novel
thyA_N211Y,0.021347973,Tier2
phoP_N69Y,0.020478472,Tier2
aadA1_1,0.020448169,Tier2
robA_T213P,0.020153502,Tier2
sopA,0.0198992,Novel
parE_G244R,0.019813376,Tier2
ampC_A19P,0.019581096,Tier2
agp_2,0.019330924,Novel
parC_G528R,0.019270632,Tier2
phoQ_T47P,0.019003378,Tier2
phoQ_E473K,0.01891749,Tier2
group_3714,0.018768087,Novel
thyA_P104A,0.018383164,Tier2
pmrB_L132V,0.018377652,Tier2
phoP_L176I,0.018212074,Tier2
parC_V244L,0.01802757,Tier2
parC_G579R,0.017619668,Tier2
gyrA_G151C,0.017292364,Tier2
ampC_Y360H,0.016092751,Tier2
parE_Q360K,0.015726874,Tier2
ompF_D149Y,0.015110156,Tier2
gyrA_E662K,0.01481553,Tier2
urf2,0.014778676,Novel
mdtM,0.014714468,Tier2
group_8478,0.01452081,Novel
gyrB_A152S,0.013658065,Tier2
ompC_T348P,0.0136560695,Tier2
APH(6)-Id,0.013435031,Tier2
tolC_C91R,0.013320891,Tier2
group_18374,0.013308231,Novel
nanA1,0.013272085,Novel
iraM,0.013255989,Novel
intB,0.013071819,Novel
parE_N104H,0.012811728,Tier2
ulaC_2,0.01276354,Novel
parE_N446Y,0.012616829,Tier2
kil2,0.012612397,Novel
parE_V118M,0.012422879,Tier2
yggM,0.012284432,Novel
gyrB_E711K,0.012203034,Tier2
gyrA_T658P,0.012033938,Tier2
gyrB_D74Y,0.011996479,Tier2
yjhG,0.011909691,Novel
nqrC,0.011735112,Novel
ftsI_D384E,0.011689176,Tier2
tolC_Q473H,0.011442725,Tier2
gyrA_R615C,0.011335327,Tier2
mdtM.1,0.011334878,Tier2
parC_T202S,0.011123053,Tier2
vapC_2,0.01102148,Novel
robA_E195K,0.010902975,Tier2
group_12614,0.01082505,Novel
gyrB_T165S,0.010767966,Tier2
group_10824,0.010631489,Novel
phoQ_N385Y,0.01049798,Tier2
ftsI_S164R,0.010296183,Tier2
gyrA_T632P,0.01021382,Tier2
marR_V3E,0.010033739,Tier2
tet(B),0.009901926,Tier2
group_16994,0.00979739,Novel
yhdJ_2,0.009791908,Novel
insA_1,0.009765851,Novel
phoQ_I366L,0.0097647235,Tier2
phoP_G53*,0.009515519,Tier2
yiaM_1,0.00928722,Novel
tet(A),0.009271983,Tier2
gyrA_P608T,0.0092333555,Tier2
thyA_P254T,0.009099437,Tier2
group_3274,0.009071809,Novel
gyrA_A699P,0.009047494,Tier2
parC_G107C,0.008673054,Tier2
group_15370,0.008604123,Novel
gyrA_E507K,0.0085825985,Tier2
pemI,0.008520068,Novel
gyrA_T654S,0.008426973,Tier2
ampC_S298I,0.008379708,Tier2
ompC_G203S,0.008112886,Tier2
rtcB_2,0.008051102,Novel
parE_D408Y,0.008041839,Tier2
folP_R235C,0.007937746,Tier2
robA_R119C,0.007731084,Tier2
SHV-102,0.007657005,Tier2
parE_R378C,0.007597816,Tier2
robA_S187R,0.0075008813,Tier2
ampC_G284C,0.0074761594,Tier2
vapB_2,0.007346697,Novel
tolC_C401R,0.0073145772,Tier2
ampC_D304G,0.007221701,Tier2
gyrA_L424V,0.0072174305,Tier2
gyrA_P265S,0.007205384,Tier2
yfeA,0.007186922,Novel
gyrB_A618P,0.007172441,Tier2
gyrB_D210Y,0.0071593863,Tier2
