novel_gene,corr_with,correlation
group_20717,IncFIA_1,0.9547256412698956
group_26088,CTX-M-15,0.9915486523636469
group_15883,parC_E84V,0.923202603040905
mphR,Mrx,1.0
repE,IncFIA_1,0.959616594948295
group_21010,Mrx,0.8278462586575182
yjgL_2,parC_E84V,0.876957680538696
group_3469,parC_E84V,0.819279578289731
rsvB,IncFIA_1,0.8557495992021495
rfbC,ptsI_V25I,0.9444300688238483
wbbJ,ptsI_V25I,0.9485052123637184
group_15443,aadA5,0.8228372275237625
ebr,sul1.1,0.9797895663281221
tnpA_4,catB4_1,0.8209345039948831
dhfrI,dfrA17,0.9932764356935438
group_2358,parC_E84V,0.922260727496914
group_20781,aadA5,0.9212488669286264
group_26394,ptsI_V25I,1.0
group_15444,Mrx,0.9752458796949969
group_21540,ptsI_V25I,0.9603036806020648
group_21533,ptsI_V25I,0.9805742052214658
group_3733,parC_E84V,0.9100394271175432
ccdB_2,IncFIA_1,0.8466059204199667
group_21547,ptsI_V25I,0.9364734202991644
group_26367,ptsI_V25I,0.9442573153811055
group_26364,ptsI_V25I,0.9562304758966932
group_26382,ptsI_V25I,0.9482383100906577
group_16997,parC_E84V,0.8199003657360645
group_21553,ptsI_V25I,0.9562304758966932
group_26380,ptsI_V25I,0.9482383100906577
group_19064,ptsI_V25I,0.9401792972736859
group_21544,ptsI_V25I,0.9250813366444509
group_15783,parC_E84V,0.8536346042475067
group_26324,ptsI_V25I,0.9602521491220734
group_17286,ptsI_V25I,0.9603036806020648
group_19071,parC_E84V,0.8374278347951754
group_26317,ptsI_V25I,1.0
group_14316,tet(B),0.9820657266989068
rfaB,ptsI_V25I,0.9882449236776242
group_19059,ptsI_V25I,0.9323656108187616
group_19068,ptsI_V25I,1.0
group_4134,ptsI_V25I,1.0
group_26383,ptsI_V25I,1.0
group_26330,ptsI_V25I,1.0
group_26377,ptsI_V25I,0.9802378813886743
group_21549,ptsI_V25I,0.9364734202991644
group_26326,ptsI_V25I,0.9643086639567016
group_25848,parC_E84V,0.8536346042475067
group_21546,ptsI_V25I,0.9250813366444509
group_26323,ptsI_V25I,0.9643086639567016
group_26388,ptsI_V25I,1.0
gemA,parC_E84V,0.834361924235782
group_20769,parC_E84V,0.8572856771170966
group_26328,ptsI_V25I,1.0
group_3389,ptsI_V25I,0.9804030816084818
parM,parC_E84V,0.8572856771170966
group_26358,ptsI_V25I,0.9323656108187616
group_16999,parC_E84V,0.9262716778998296
group_25849,parC_E84V,0.8536346042475067
group_19056,ptsI_V25I,0.9250813366444509
group_24898,parC_E84V,0.8477452157986107
rfaS,ptsI_V25I,0.9805742052214658
traC_1,ptsI_V25I,0.9602521491220734
group_26316,ptsI_V25I,0.9444300688238483
group_17290,ptsI_V25I,0.9960867657467666
group_15887,ptsI_V25I,1.0
group_26384,ptsI_V25I,1.0
group_21517,ptsI_V25I,0.905876803313004
group_26368,ptsI_V25I,0.9278902503116238
uidB2,parC_E84V,0.8612605437371558
group_21535,ptsI_V25I,0.9602661615575255
group_26350,ptsI_V25I,0.9401792972736858
group_18589,parC_E84V,0.8477452157986107
group_21536,ptsI_V25I,0.9602661615575255
group_15884,ptsI_V25I,0.9323656108187616
group_15890,ptsI_V25I,1.0
group_26311,ptsI_V25I,1.0
group_26381,ptsI_V25I,0.9482383100906577
group_26354,ptsI_V25I,0.9442573153811055
wbbK,ptsI_V25I,0.9485052123637184
group_6554,catB4_1,0.8284225155707984
dnaB_2,ptsI_V25I,0.9603036806020648
group_19060,ptsI_V25I,0.9403460097041003
group_26360,ptsI_V25I,0.9403460097041003
group_26402,parC_E84V,0.8374278347951754
group_26355,ptsI_V25I,0.9364734202991644
wbbL,ptsI_V25I,0.9444300688238483
group_26357,ptsI_V25I,0.9364734202991644
fepE,ptsI_V25I,-0.9725612395393397
group_19254,ptsI_V25I,0.9364734202991644
group_21548,ptsI_V25I,0.9364734202991644
ybcO_2,ptsI_V25I,0.9364734202991644
group_21554,ptsI_V25I,0.9364734202991644
group_21551,ptsI_V25I,0.9364734202991644
group_26393,ptsI_V25I,1.0
group_11936,ptsI_V25I,0.9522003230294545
group_25847,parE_I529L,0.8118921219086441
group_26341,ptsI_V25I,0.9882449236776242
group_26362,ptsI_V25I,0.9288417291602032
group_26349,ptsI_V25I,0.9326388778512401
group_26365,ptsI_V25I,0.9521988365020765
group_26361,ptsI_V25I,0.9521988365020764
group_26366,ptsI_V25I,0.9521988365020765
group_19045,parC_E84V,0.8515338396451169
group_24445,parC_E84V,0.8343619242357817
group_19070,ptsI_V25I,1.0
group_26386,ptsI_V25I,1.0
