feature,shap_importance,feature_type
group_3326,0.18469673,Novel
yfeA,0.15189736,Novel
group_24688,0.12722223,Novel
group_7896,0.10203559,Novel
wcaM,0.10076536,Novel
group_16955,0.09531984,Novel
insA_1,0.09518281,Novel
group_16990,0.08674162,Novel
group_17656,0.07797215,Novel
group_312,0.06167812,Novel
group_16885,0.05494433,Novel
sopB,0.048679613,Novel
merA_2,0.046900377,Novel
group_13334,0.044570442,Novel
vapB_2,0.041080926,Novel
yhdJ_2,0.039217196,Novel
group_20927,0.035418835,Novel
group_6211,0.03441559,Novel
group_14353,0.03353674,Novel
fI,0.0324271,Novel
