feature,shap_importance,feature_type
TEM-4,1.4580774,Tier2+Tier1B
blaTEM-1,0.7486473,Tier2+Tier1B
tnpR,0.25730017,Novel
ybeT,0.17734598,Novel
yhjK_2,0.15166229,Novel
sul1,0.14836654,Tier2+Tier1B
OXA-1,0.14391641,Tier2+Tier1B
ftsI_L192F,0.13916205,Tier2+Tier1B
group_3820,0.13665535,Novel
group_24688,0.1236989,Novel
blaTEM-1B_1,0.11181276,Tier2+Tier1B
traL,0.1023025,Novel
group_11074,0.09857862,Novel
yedE,0.09589493,Novel
group_14256,0.09372722,Novel
PmrE,0.08675801,Tier2+Tier1B
group_16945,0.084889695,Novel
gyrB_G684R,0.08378801,Tier2+Tier1B
fucA_3,0.08095102,Novel
fII,0.06875205,Novel
sul2.1,0.06626949,Tier2+Tier1B
aph(3'')-Ib,0.0640691,Tier2+Tier1B
ompC_Q196E,0.062035087,Tier2+Tier1B
group_5999,0.060608055,Novel
neo,0.056134693,Novel
group_11744,0.055327743,Novel
aph(6)-Id,0.05447164,Tier2+Tier1B
ampC_D367A,0.053328298,Tier2+Tier1B
group_16226,0.052722096,Novel
ompC_G133R,0.052545365,Tier2+Tier1B
group_3308,0.05192425,Novel
gyrA_V85F,0.04839282,Tier2+Tier1B
group_18272,0.04787809,Novel
group_17014,0.04554952,Novel
robA_D269H,0.044546183,Tier2+Tier1B
sopB,0.042645663,Novel
ompC_V201F,0.042581417,Tier2+Tier1B
phoP_Y179H,0.04255464,Tier2+Tier1B
mtnA,0.040450346,Novel
hsdR,0.039788246,Novel
group_18988,0.038764726,Novel
gyrB_T292S,0.03857307,Tier2+Tier1B
group_8890,0.03809063,Novel
group_8037,0.037894923,Novel
group_7497,0.036709752,Novel
group_16811,0.03560432,Novel
aadA,0.03494562,Tier2+Tier1B
tolC_R233S,0.034615576,Tier2+Tier1B
robA_P286S,0.034503073,Tier2+Tier1B
group_16388,0.033604156,Novel
ompF_D149Y,0.03318929,Tier2+Tier1B
group_7221,0.032852,Novel
ampC_A19P,0.03264019,Tier2+Tier1B
group_4655,0.032393705,Novel
group_13573,0.031802133,Novel
group_26397,0.030090164,Novel
group_16687,0.030038573,Novel
group_16006,0.029511599,Novel
group_18191,0.029297927,Novel
yehM,0.029247548,Novel
gyrB_D639Y,0.028835323,Tier2+Tier1B
tolC_M264I,0.026401665,Tier2+Tier1B
folP_S94A,0.025590831,Tier2+Tier1B
group_9391,0.025533903,Novel
robA_R119C,0.02505405,Tier2+Tier1B
group_3011,0.024753317,Novel
group_20866,0.024450406,Novel
parE_Y482H,0.02374687,Tier2+Tier1B
group_16713,0.023391698,Novel
gyrA_P636A,0.02332541,Tier2+Tier1B
aadA1_1,0.023185378,Tier2+Tier1B
gyrA_G151C,0.022922741,Tier2+Tier1B
parE_G244R,0.022511568,Tier2+Tier1B
iraM,0.022432026,Novel
thyA_S125P,0.022163484,Tier2+Tier1B
parC_L157V,0.022150528,Tier2+Tier1B
ompC_T155P,0.021606108,Tier2+Tier1B
phoQ_A482T,0.02142426,Tier2+Tier1B
parE_D408Y,0.021265995,Tier2+Tier1B
gyrA_S83L,0.021223467,Tier2+Tier1B
gyrB_G284C,0.021078117,Tier2+Tier1B
group_9728,0.020726234,Novel
insA_1,0.020663973,Novel
gyrB_V372L,0.02034574,Tier2+Tier1B
thyA_N211Y,0.020324681,Tier2+Tier1B
ompC_V106M,0.019882714,Tier2+Tier1B
ampC_Y360H,0.019706918,Tier2+Tier1B
sopA,0.019296521,Novel
parC_V244L,0.019225301,Tier2+Tier1B
mdoD,0.018820131,Novel
parC_G579R,0.018770391,Tier2+Tier1B
idnT_2,0.018606467,Novel
